# TOPAS Version: 3.9
# Parameter File: simulacao.txt
# Results for Scorer: HistogramaDose1
# Scored in component: Microtitulacao
# Cumulative Volume Histogram over number of voxels: 1000
"# BinNumber, LowerLimit of DoseToMedium ( Gy ), Value"
"0, 11, 4, 0"
"0, 12, 0, 0"
"0, 12, 1, 0"
"0, 12, 2, 0"
"0, 12, 3, 0"
"0, 12, 4, 0"
"0, 13, 0, 0"
"0, 13, 1, 0"
"0, 13, 2, 0"
"0, 13, 3, 0"
"0, 13, 4, 0"
"0, 14, 0, 0"
"0, 14, 1, 0"
"0, 14, 2, 0"
"0, 14, 3, 0"
"0, 14, 4, 0"
"0, 15, 0, 0"
"0, 15, 1, 0"
"0, 15, 2, 0"
"0, 15, 3, 0"
"0, 15, 4, 0"
"0, 16, 0, 0"
"0, 16, 1, 0"
"0, 16, 2, 0"
"0, 16, 3, 0"
"0, 16, 4, 0"
"0, 17, 0, 0"
"0, 17, 1, 0"
"0, 17, 2, 0"
"0, 17, 3, 0"
"0, 17, 4, 0"
"0, 18, 0, 0"
"0, 18, 1, 0"
"0, 18, 2, 0"
"0, 18, 3, 0"
"0, 18, 4, 0"
"0, 19, 0, 0"
"0, 19, 1, 0"
"0, 19, 2, 0"
"0, 19, 3, 0"
"0, 19, 4, 0"
"1, 0, 0, 0"
"1, 0, 1, 0"
"1, 0, 2, 0"
"1, 0, 3, 0"
"1, 0, 4, 0"
"1, 1, 0, 0"
"1, 1, 1, 0"
"1, 1, 2, 0"
"1, 1, 3, 0"
"1, 1, 4, 0"
"1, 2, 0, 0"
"1, 2, 1, 0"
"1, 2, 2, 0"
"1, 2, 3, 0"
"1, 2, 4, 0"
"1, 3, 0, 0"
"1, 3, 1, 0"
"1, 3, 2, 0"
"1, 3, 3, 0"
"1, 3, 4, 0"
"1, 4, 0, 0"
"1, 4, 1, 0"
"1, 4, 2, 0"
"1, 4, 3, 0"
"1, 4, 4, 0"
"1, 5, 0, 0"
"1, 5, 1, 0"
"1, 5, 2, 0"
"1, 5, 3, 0"
"1, 5, 4, 0"
"1, 6, 0, 0"
"1, 6, 1, 0"
"1, 6, 2, 0"
"1, 6, 3, 0"
"1, 6, 4, 0"
"1, 7, 0, 0"
"1, 7, 1, 0"
"1, 7, 2, 0"
"1, 7, 3, 0"
"1, 7, 4, 0"
"1, 8, 0, 0"
"1, 8, 1, 0"
"1, 8, 2, 0"
"1, 8, 3, 0"
"1, 8, 4, 0"
"1, 9, 0, 0"
"1, 9, 1, 0"
"1, 9, 2, 0"
"1, 9, 3, 0"
"1, 9, 4, 0"
"1, 10, 0, 0"
"1, 10, 1, 0"
"1, 10, 2, 0"
"1, 10, 3, 0"
"1, 10, 4, 0"
"1, 11, 0, 0"
"1, 11, 1, 0"
"1, 11, 2, 0"
"1, 11, 3, 0"
"1, 11, 4, 0"
"1, 12, 0, 0"
"1, 12, 1, 0"
"1, 12, 2, 0"
"1, 12, 3, 0"
"1, 12, 4, 0"
"1, 13, 0, 0"
"1, 13, 1, 0"
"1, 13, 2, 0"
"1, 13, 3, 0"
"1, 13, 4, 0"
"1, 14, 0, 0"
"1, 14, 1, 0"
"1, 14, 2, 0"
"1, 14, 3, 0"
"1, 14, 4, 0"
"1, 15, 0, 0"
"1, 15, 1, 0"
"1, 15, 2, 0"
"1, 15, 3, 0"
"1, 15, 4, 0"
"1, 16, 0, 0"
"1, 16, 1, 0"
"1, 16, 2, 0"
"1, 16, 3, 0"
"1, 16, 4, 0"
"1, 17, 0, 0"
"1, 17, 1, 0"
"1, 17, 2, 0"
"1, 17, 3, 0"
"1, 17, 4, 0"
"1, 18, 0, 0"
"1, 18, 1, 0"
"1, 18, 2, 0"
"1, 18, 3, 0"
"1, 18, 4, 0"
"1, 19, 0, 0"
"1, 19, 1, 0"
"1, 19, 2, 0"
"1, 19, 3, 0"
"1, 19, 4, 0"
"2, 0, 0, 0"
"2, 0, 1, 0"
"2, 0, 2, 0"
"2, 0, 3, 0"
"2, 0, 4, 0"
"2, 1, 0, 0"
"2, 1, 1, 0"
"2, 1, 2, 0"
"2, 1, 3, 0"
"2, 1, 4, 0"
"2, 2, 0, 0"
"2, 2, 1, 0"
"2, 2, 2, 0"
"2, 2, 3, 0"
"2, 2, 4, 0"
"2, 3, 0, 0"
"2, 3, 1, 0"
"2, 3, 2, 0"
"2, 3, 3, 0"
"2, 3, 4, 0"
"2, 4, 0, 0"
"2, 4, 1, 0"
"2, 4, 2, 0"
"2, 4, 3, 0"
"2, 4, 4, 0"
"2, 5, 0, 0"
"2, 5, 1, 0"
"2, 5, 2, 0"
"2, 5, 3, 0"
"2, 5, 4, 0"
"2, 6, 0, 0"
"2, 6, 1, 0"
"2, 6, 2, 0"
"2, 6, 3, 0"
"2, 6, 4, 0"
"2, 7, 0, 0"
"2, 7, 1, 0"
"2, 7, 2, 0"
"2, 7, 3, 0"
"2, 7, 4, 0"
"2, 8, 0, 0"
"2, 8, 1, 0"
"2, 8, 2, 0"
"2, 8, 3, 0"
"2, 8, 4, 0"
"2, 9, 0, 0"
"2, 9, 1, 0"
"2, 9, 2, 0"
"2, 9, 3, 0"
"2, 9, 4, 0"
"2, 10, 0, 0"
"2, 10, 1, 0"
"2, 10, 2, 0"
"2, 10, 3, 0"
"2, 10, 4, 0"
"2, 11, 0, 0"
"2, 11, 1, 0"
"2, 11, 2, 0"
"2, 11, 3, 0"
"2, 11, 4, 0"
"2, 12, 0, 0"
"2, 12, 1, 0"
"2, 12, 2, 0"
"2, 12, 3, 0"
"2, 12, 4, 0"
"2, 13, 0, 0"
"2, 13, 1, 0"
"2, 13, 2, 0"
"2, 13, 3, 0"
"2, 13, 4, 0"
"2, 14, 0, 0"
"2, 14, 1, 0"
"2, 14, 2, 0"
"2, 14, 3, 0"
"2, 14, 4, 0"
"2, 15, 0, 0"
"2, 15, 1, 0"
"2, 15, 2, 0"
"2, 15, 3, 0"
"2, 15, 4, 0"
"2, 16, 0, 0"
"2, 16, 1, 0"
"2, 16, 2, 0"
"2, 16, 3, 0"
"2, 16, 4, 0"
"2, 17, 0, 0"
"2, 17, 1, 0"
"2, 17, 2, 0"
"2, 17, 3, 0"
"2, 17, 4, 0"
"2, 18, 0, 0"
"2, 18, 1, 0"
"2, 18, 2, 0"
"2, 18, 3, 0"
"2, 18, 4, 0"
"2, 19, 0, 0"
"2, 19, 1, 0"
"2, 19, 2, 0"
"2, 19, 3, 0"
"2, 19, 4, 0"
"3, 0, 0, 0"
"3, 0, 1, 0"
"3, 0, 2, 0"
"3, 0, 3, 0"
"3, 0, 4, 0"
"3, 1, 0, 0"
"3, 1, 1, 0"
"3, 1, 2, 9.134815300015919e-14"
"3, 1, 3, 0"
"3, 1, 4, 0"
"3, 2, 0, 0"
"3, 2, 1, 0"
"3, 2, 2, 0"
"3, 2, 3, 0"
"3, 2, 4, 0"
"3, 3, 0, 0"
"3, 3, 1, 0"
"3, 3, 2, 0"
"3, 3, 3, 0"
"3, 3, 4, 0"
"3, 4, 0, 0"
"3, 4, 1, 0"
"3, 4, 2, 0"
"3, 4, 3, 0"
"3, 4, 4, 0"
"3, 5, 0, 0"
"3, 5, 1, 0"
"3, 5, 2, 0"
"3, 5, 3, 0"
"3, 5, 4, 0"
"3, 6, 0, 0"
"3, 6, 1, 0"
"3, 6, 2, 0"
"3, 6, 3, 0"
"3, 6, 4, 0"
"3, 7, 0, 0"
"3, 7, 1, 0"
"3, 7, 2, 0"
"3, 7, 3, 0"
"3, 7, 4, 0"
"3, 8, 0, 0"
"3, 8, 1, 0"
"3, 8, 2, 0"
"3, 8, 3, 0"
"3, 8, 4, 0"
"3, 9, 0, 0"
"3, 9, 1, 0"
"3, 9, 2, 0"
"3, 9, 3, 0"
"3, 9, 4, 0"
"3, 10, 0, 0"
"3, 10, 1, 0"
"3, 10, 2, 0"
"3, 10, 3, 0"
"3, 10, 4, 0"
"3, 11, 0, 0"
"3, 11, 1, 0"
"3, 11, 2, 0"
"3, 11, 3, 0"
"3, 11, 4, 0"
"3, 12, 0, 0"
"3, 12, 1, 0"
"3, 12, 2, 0"
"3, 12, 3, 0"
"3, 12, 4, 0"
"3, 13, 0, 0"
"3, 13, 1, 0"
"3, 13, 2, 0"
"3, 13, 3, 0"
"3, 13, 4, 0"
"3, 14, 0, 0"
"3, 14, 1, 0"
"3, 14, 2, 0"
"3, 14, 3, 0"
"3, 14, 4, 0"
"3, 15, 0, 0"
"3, 15, 1, 0"
"3, 15, 2, 0"
"3, 15, 3, 0"
"3, 15, 4, 0"
"3, 16, 0, 0"
"3, 16, 1, 0"
"3, 16, 2, 0"
"3, 16, 3, 0"
"3, 16, 4, 0"
"3, 17, 0, 0"
"3, 17, 1, 0"
"3, 17, 2, 0"
"3, 17, 3, 0"
"3, 17, 4, 0"
"3, 18, 0, 0"
"3, 18, 1, 0"
"3, 18, 2, 0"
"3, 18, 3, 0"
"3, 18, 4, 0"
"3, 19, 0, 0"
"3, 19, 1, 0"
"3, 19, 2, 0"
"3, 19, 3, 0"
"3, 19, 4, 0"
"4, 0, 0, 0"
"4, 0, 1, 0"
"4, 0, 2, 0"
"4, 0, 3, 0"
"4, 0, 4, 0"
"4, 1, 0, 0"
"4, 1, 1, 0"
"4, 1, 2, 0"
"4, 1, 3, 0"
"4, 1, 4, 0"
"4, 2, 0, 0"
"4, 2, 1, 0"
"4, 2, 2, 0"
"4, 2, 3, 0"
"4, 2, 4, 0"
"4, 3, 0, 0"
"4, 3, 1, 0"
"4, 3, 2, 0"
"4, 3, 3, 0"
"4, 3, 4, 0"
"4, 4, 0, 0"
"4, 4, 1, 0"
"4, 4, 2, 0"
"4, 4, 3, 0"
"4, 4, 4, 0"
"4, 5, 0, 0"
"4, 5, 1, 0"
"4, 5, 2, 0"
"4, 5, 3, 0"
"4, 5, 4, 0"
"4, 6, 0, 0"
"4, 6, 1, 0"
"4, 6, 2, 0"
"4, 6, 3, 0"
"4, 6, 4, 0"
"4, 7, 0, 0"
"4, 7, 1, 0"
"4, 7, 2, 0"
"4, 7, 3, 0"
"4, 7, 4, 0"
"4, 8, 0, 0"
"4, 8, 1, 0"
"4, 8, 2, 0"
"4, 8, 3, 0"
"4, 8, 4, 0"
"4, 9, 0, 0"
"4, 9, 1, 0"
"4, 9, 2, 0"
"4, 9, 3, 0"
"4, 9, 4, 0"
"4, 10, 0, 0"
"4, 10, 1, 0"
"4, 10, 2, 0"
"4, 10, 3, 0"
"4, 10, 4, 0"
"4, 11, 0, 0"
"4, 11, 1, 0"
"4, 11, 2, 0"
"4, 11, 3, 0"
"4, 11, 4, 0"
"4, 12, 0, 0"
"4, 12, 1, 0"
"4, 12, 2, 0"
"4, 12, 3, 0"
"4, 12, 4, 0"
"4, 13, 0, 0"
"4, 13, 1, 0"
"4, 13, 2, 0"
"4, 13, 3, 0"
"4, 13, 4, 0"
"4, 14, 0, 0"
"4, 14, 1, 0"
"4, 14, 2, 0"
"4, 14, 3, 0"
"4, 14, 4, 0"
"4, 15, 0, 0"
"4, 15, 1, 0"
"4, 15, 2, 0"
"4, 15, 3, 0"
"4, 15, 4, 0"
"4, 16, 0, 0"
"4, 16, 1, 0"
"4, 16, 2, 0"
"4, 16, 3, 0"
"4, 16, 4, 0"
"4, 17, 0, 0"
"4, 17, 1, 0"
"4, 17, 2, 0"
"4, 17, 3, 0"
"4, 17, 4, 0"
"4, 18, 0, 0"
"4, 18, 1, 0"
"4, 18, 2, 0"
"4, 18, 3, 0"
"4, 18, 4, 0"
"4, 19, 0, 0"
"4, 19, 1, 0"
"4, 19, 2, 0"
"4, 19, 3, 0"
"4, 19, 4, 0"
"5, 0, 0, 0"
"5, 0, 1, 0"
"5, 0, 2, 0"
"5, 0, 3, 0"
"5, 0, 4, 0"
"5, 1, 0, 0"
"5, 1, 1, 0"
"5, 1, 2, 0"
"5, 1, 3, 0"
"5, 1, 4, 0"
"5, 2, 0, 0"
"5, 2, 1, 0"
"5, 2, 2, 0"
"5, 2, 3, 0"
"5, 2, 4, 0"
"5, 3, 0, 0"
"5, 3, 1, 0"
"5, 3, 2, 0"
"5, 3, 3, 0"
"5, 3, 4, 0"
"5, 4, 0, 0"
"5, 4, 1, 0"
"5, 4, 2, 0"
"5, 4, 3, 0"
"5, 4, 4, 0"
"5, 5, 0, 0"
"5, 5, 1, 0"
"5, 5, 2, 0"
"5, 5, 3, 0"
"5, 5, 4, 0"
"5, 6, 0, 0"
"5, 6, 1, 0"
"5, 6, 2, 0"
"5, 6, 3, 0"
"5, 6, 4, 0"
"5, 7, 0, 0"
"5, 7, 1, 0"
"5, 7, 2, 0"
"5, 7, 3, 0"
"5, 7, 4, 0"
"5, 8, 0, 0"
"5, 8, 1, 0"
"5, 8, 2, 0"
"5, 8, 3, 0"
"5, 8, 4, 0"
"5, 9, 0, 0"
"5, 9, 1, 0"
"5, 9, 2, 0"
"5, 9, 3, 6.329398116733387e-10"
"5, 9, 4, 2.530550491375294e-10"
"5, 10, 0, 0"
"5, 10, 1, 0"
"5, 10, 2, 0"
"5, 10, 3, 0"
"5, 10, 4, 0"
"5, 11, 0, 0"
"5, 11, 1, 0"
"5, 11, 2, 0"
"5, 11, 3, 0"
"5, 11, 4, 0"
"5, 12, 0, 0"
"5, 12, 1, 0"
"5, 12, 2, 0"
"5, 12, 3, 0"
"5, 12, 4, 0"
"5, 13, 0, 0"
"5, 13, 1, 0"
"5, 13, 2, 0"
"5, 13, 3, 0"
"5, 13, 4, 0"
"5, 14, 0, 0"
"5, 14, 1, 0"
"5, 14, 2, 0"
"5, 14, 3, 0"
"5, 14, 4, 0"
"5, 15, 0, 0"
"5, 15, 1, 0"
"5, 15, 2, 0"
"5, 15, 3, 0"
"5, 15, 4, 0"
"5, 16, 0, 0"
"5, 16, 1, 0"
"5, 16, 2, 0"
"5, 16, 3, 0"
"5, 16, 4, 0"
"5, 17, 0, 2.184084441081424e-10"
"5, 17, 1, 4.407302023334836e-10"
"5, 17, 2, 4.454451252300373e-10"
"5, 17, 3, 0"
"5, 17, 4, 0"
"5, 18, 0, 3.16663528732164e-10"
"5, 18, 1, 0"
"5, 18, 2, 0"
"5, 18, 3, 0"
"5, 18, 4, 0"
"5, 19, 0, 0"
"5, 19, 1, 0"
"5, 19, 2, 0"
"5, 19, 3, 0"
"5, 19, 4, 0"
"6, 0, 0, 0"
"6, 0, 1, 0"
"6, 0, 2, 0"
"6, 0, 3, 0"
"6, 0, 4, 0"
"6, 1, 0, 0"
"6, 1, 1, 0"
"6, 1, 2, 0"
"6, 1, 3, 0"
"6, 1, 4, 0"
"6, 2, 0, 0"
"6, 2, 1, 0"
"6, 2, 2, 0"
"6, 2, 3, 0"
"6, 2, 4, 0"
"6, 3, 0, 0"
"6, 3, 1, 0"
"6, 3, 2, 0"
"6, 3, 3, 0"
"6, 3, 4, 0"
"6, 4, 0, 0"
"6, 4, 1, 0"
"6, 4, 2, 0"
"6, 4, 3, 0"
"6, 4, 4, 0"
"6, 5, 0, 0"
"6, 5, 1, 0"
"6, 5, 2, 0"
"6, 5, 3, 0"
"6, 5, 4, 0"
"6, 6, 0, 0"
"6, 6, 1, 0"
"6, 6, 2, 0"
"6, 6, 3, 0"
"6, 6, 4, 0"
"6, 7, 0, 0"
"6, 7, 1, 0"
"6, 7, 2, 0"
"6, 7, 3, 0"
"6, 7, 4, 0"
"6, 8, 0, 0"
"6, 8, 1, 0"
"6, 8, 2, 0"
"6, 8, 3, 0"
"6, 8, 4, 0"
"6, 9, 0, 5.464204089200564e-10"
"6, 9, 1, 0"
"6, 9, 2, 0"
"6, 9, 3, 0"
"6, 9, 4, 0"
"6, 10, 0, 3.462398701081781e-10"
"6, 10, 1, 7.797059109471149e-10"
"6, 10, 2, 4.18760026654752e-10"
"6, 10, 3, 0"
"6, 10, 4, 0"
"6, 11, 0, 0"
"6, 11, 1, 0"
"6, 11, 2, 0"
"6, 11, 3, 0"
"6, 11, 4, 0"
"6, 12, 0, 0"
"6, 12, 1, 0"
"6, 12, 2, 0"
"6, 12, 3, 0"
"6, 12, 4, 0"
"6, 13, 0, 0"
"6, 13, 1, 0"
"6, 13, 2, 0"
"6, 13, 3, 0"
"6, 13, 4, 0"
"6, 14, 0, 0"
"6, 14, 1, 0"
"6, 14, 2, 0"
"6, 14, 3, 0"
"6, 14, 4, 0"
"6, 15, 0, 0"
"6, 15, 1, 0"
"6, 15, 2, 0"
"6, 15, 3, 0"
"6, 15, 4, 0"
"6, 16, 0, 0"
"6, 16, 1, 0"
"6, 16, 2, 0"
"6, 16, 3, 0"
"6, 16, 4, 0"
"6, 17, 0, 0"
"6, 17, 1, 0"
"6, 17, 2, 0"
"6, 17, 3, 0"
"6, 17, 4, 0"
"6, 18, 0, 0"
"6, 18, 1, 0"
"6, 18, 2, 0"
"6, 18, 3, 0"
"6, 18, 4, 0"
"6, 19, 0, 0"
"6, 19, 1, 0"
"6, 19, 2, 0"
"6, 19, 3, 0"
"6, 19, 4, 0"
"7, 0, 0, 0"
"7, 0, 1, 0"
"7, 0, 2, 0"
"7, 0, 3, 0"
"7, 0, 4, 0"
"7, 1, 0, 0"
"7, 1, 1, 0"
"7, 1, 2, 0"
"7, 1, 3, 0"
"7, 1, 4, 0"
"7, 2, 0, 0"
"7, 2, 1, 0"
"7, 2, 2, 0"
"7, 2, 3, 0"
"7, 2, 4, 0"
"7, 3, 0, 0"
"7, 3, 1, 0"
"7, 3, 2, 0"
"7, 3, 3, 0"
"7, 3, 4, 0"
"7, 4, 0, 0"
"7, 4, 1, 0"
"7, 4, 2, 0"
"7, 4, 3, 0"
"7, 4, 4, 0"
"7, 5, 0, 0"
"7, 5, 1, 0"
"7, 5, 2, 0"
"7, 5, 3, 0"
"7, 5, 4, 0"
"7, 6, 0, 0"
"7, 6, 1, 0"
"7, 6, 2, 0"
"7, 6, 3, 0"
"7, 6, 4, 0"
"7, 7, 0, 0"
"7, 7, 1, 0"
"7, 7, 2, 0"
"7, 7, 3, 0"
"7, 7, 4, 0"
"7, 8, 0, 0"
"7, 8, 1, 0"
"7, 8, 2, 0"
"7, 8, 3, 0"
"7, 8, 4, 0"
"7, 9, 0, 0"
"7, 9, 1, 0"
"7, 9, 2, 0"
"7, 9, 3, 0"
"7, 9, 4, 0"
"7, 10, 0, 0"
"7, 10, 1, 0"
"7, 10, 2, 0"
"7, 10, 3, 0"
"7, 10, 4, 0"
"7, 11, 0, 0"
"7, 11, 1, 0"
"7, 11, 2, 0"
"7, 11, 3, 0"
"7, 11, 4, 0"
"7, 12, 0, 0"
"7, 12, 1, 0"
"7, 12, 2, 0"
"7, 12, 3, 0"
"7, 12, 4, 0"
"7, 13, 0, 0"
"7, 13, 1, 0"
"7, 13, 2, 0"
"7, 13, 3, 0"
"7, 13, 4, 0"
"7, 14, 0, 0"
"7, 14, 1, 0"
"7, 14, 2, 0"
"7, 14, 3, 0"
"7, 14, 4, 0"
"7, 15, 0, 0"
"7, 15, 1, 0"
"7, 15, 2, 0"
"7, 15, 3, 0"
"7, 15, 4, 0"
"7, 16, 0, 0"
"7, 16, 1, 0"
"7, 16, 2, 0"
"7, 16, 3, 0"
"7, 16, 4, 0"
"7, 17, 0, 0"
"7, 17, 1, 0"
"7, 17, 2, 0"
"7, 17, 3, 0"
"7, 17, 4, 0"
"7, 18, 0, 0"
"7, 18, 1, 0"
"7, 18, 2, 0"
"7, 18, 3, 0"
"7, 18, 4, 0"
"7, 19, 0, 0"
"7, 19, 1, 0"
"7, 19, 2, 0"
"7, 19, 3, 0"
"7, 19, 4, 0"
"8, 0, 0, 0"
"8, 0, 1, 0"
"8, 0, 2, 0"
"8, 0, 3, 0"
"8, 0, 4, 0"
"8, 1, 0, 0"
"8, 1, 1, 0"
"8, 1, 2, 0"
"8, 1, 3, 0"
"8, 1, 4, 0"
"8, 2, 0, 0"
"8, 2, 1, 0"
"8, 2, 2, 0"
"8, 2, 3, 0"
"8, 2, 4, 0"
"8, 3, 0, 0"
"8, 3, 1, 0"
"8, 3, 2, 0"
"8, 3, 3, 0"
"8, 3, 4, 0"
"8, 4, 0, 0"
"8, 4, 1, 0"
"8, 4, 2, 0"
"8, 4, 3, 0"
"8, 4, 4, 0"
"8, 5, 0, 0"
"8, 5, 1, 0"
"8, 5, 2, 0"
"8, 5, 3, 0"
"8, 5, 4, 0"
"8, 6, 0, 0"
"8, 6, 1, 0"
"8, 6, 2, 0"
"8, 6, 3, 0"
"8, 6, 4, 0"
"8, 7, 0, 0"
"8, 7, 1, 0"
"8, 7, 2, 0"
"8, 7, 3, 0"
"8, 7, 4, 0"
"8, 8, 0, 0"
"8, 8, 1, 0"
"8, 8, 2, 0"
"8, 8, 3, 0"
"8, 8, 4, 0"
"8, 9, 0, 0"
"8, 9, 1, 0"
"8, 9, 2, 0"
"8, 9, 3, 0"
"8, 9, 4, 0"
"8, 10, 0, 0"
"8, 10, 1, 0"
"8, 10, 2, 0"
"8, 10, 3, 0"
"8, 10, 4, 0"
"8, 11, 0, 0"
"8, 11, 1, 0"
"8, 11, 2, 0"
"8, 11, 3, 0"
"8, 11, 4, 0"
"8, 12, 0, 0"
"8, 12, 1, 0"
"8, 12, 2, 0"
"8, 12, 3, 0"
"8, 12, 4, 0"
"8, 13, 0, 0"
"8, 13, 1, 0"
"8, 13, 2, 0"
"8, 13, 3, 0"
"8, 13, 4, 0"
"8, 14, 0, 0"
"8, 14, 1, 0"
"8, 14, 2, 0"
"8, 14, 3, 0"
"8, 14, 4, 0"
"8, 15, 0, 0"
"8, 15, 1, 0"
"8, 15, 2, 0"
"8, 15, 3, 0"
"8, 15, 4, 0"
"8, 16, 0, 0"
"8, 16, 1, 0"
"8, 16, 2, 0"
"8, 16, 3, 0"
"8, 16, 4, 0"
"8, 17, 0, 0"
"8, 17, 1, 0"
"8, 17, 2, 0"
"8, 17, 3, 0"
"8, 17, 4, 0"
"8, 18, 0, 0"
"8, 18, 1, 0"
"8, 18, 2, 0"
"8, 18, 3, 0"
"8, 18, 4, 0"
"8, 19, 0, 0"
"8, 19, 1, 0"
"8, 19, 2, 0"
"8, 19, 3, 0"
"8, 19, 4, 0"
"9, 0, 0, 0"
"9, 0, 1, 0"
"9, 0, 2, 0"
"9, 0, 3, 0"
"9, 0, 4, 0"
"9, 1, 0, 0"
"9, 1, 1, 0"
"9, 1, 2, 0"
"9, 1, 3, 0"
"9, 1, 4, 0"
"9, 2, 0, 0"
"9, 2, 1, 0"
"9, 2, 2, 0"
"9, 2, 3, 0"
"9, 2, 4, 0"
"9, 3, 0, 0"
"9, 3, 1, 0"
"9, 3, 2, 0"
"9, 3, 3, 0"
"9, 3, 4, 0"
"9, 4, 0, 0"
"9, 4, 1, 0"
"9, 4, 2, 0"
"9, 4, 3, 0"
"9, 4, 4, 0"
"9, 5, 0, 0"
"9, 5, 1, 0"
"9, 5, 2, 0"
"9, 5, 3, 0"
"9, 5, 4, 0"
"9, 6, 0, 0"
"9, 6, 1, 0"
"9, 6, 2, 0"
"9, 6, 3, 0"
"9, 6, 4, 0"
"9, 7, 0, 0"
"9, 7, 1, 0"
"9, 7, 2, 0"
"9, 7, 3, 0"
"9, 7, 4, 0"
"9, 8, 0, 0"
"9, 8, 1, 0"
"9, 8, 2, 0"
"9, 8, 3, 0"
"9, 8, 4, 0"
